7.204200000000000000e+04,3.240000000000000000e+03
7.132700000000000000e+04,5.321000000000000000e+03
3.922800000000000000e+04,7.206000000000000000e+03
2.456900000000000000e+04,8.300000000000000000e+03
1.571700000000000000e+04,9.025000000000000000e+03
1.377700000000000000e+04,9.557000000000000000e+03
1.197400000000000000e+04,9.890000000000000000e+03
1.149100000000000000e+04,1.019600000000000000e+04
1.146300000000000000e+04,1.027700000000000000e+04
1.102200000000000000e+04,1.038000000000000000e+04
1.104500000000000000e+04,1.036200000000000000e+04
1.096000000000000000e+04,1.045600000000000000e+04
1.092300000000000000e+04,1.047700000000000000e+04
1.093500000000000000e+04,1.052600000000000000e+04
1.091400000000000000e+04,1.051900000000000000e+04
1.084000000000000000e+04,1.058100000000000000e+04
1.089600000000000000e+04,1.057700000000000000e+04
1.085200000000000000e+04,1.059200000000000000e+04
1.081800000000000000e+04,1.058900000000000000e+04
1.081500000000000000e+04,1.057900000000000000e+04
1.081800000000000000e+04,1.061400000000000000e+04
1.081000000000000000e+04,1.067500000000000000e+04
1.080300000000000000e+04,1.061400000000000000e+04
1.080400000000000000e+04,1.059800000000000000e+04
1.078000000000000000e+04,1.067700000000000000e+04
